fecha,ticker,r,T,spot,F_mercado,F_teorico,basis,señal
2026-05-26,SI=F,0.03582,0.06575,77.39,76.31,77.6,-1.29,COMPRA FUTURO
2026-05-27,SI=F,0.03585,0.06301,74.93,74.6,75.12,-0.52,COMPRA FUTURO
2026-05-28,SI=F,0.0359,0.06027,75.88,75.64,76.07,-0.42,COMPRA FUTURO
2026-05-29,SI=F,0.03588,0.05753,75.85,75.62,76.02,-0.41,COMPRA FUTURO
2026-06-01,SI=F,0.0362,0.04932,75.11,75.01,75.27,-0.26,SIN SEÑAL
2026-06-02,SI=F,0.03618,0.04658,75.47,75.31,75.61,-0.3,SIN SEÑAL
2026-06-03,SI=F,0.03623,0.04384,73.49,73.48,73.63,-0.15,SIN SEÑAL
2026-06-04,SI=F,0.0362,0.0411,74.35,73.78,74.47,-0.69,COMPRA FUTURO
2026-06-08,ES=F,0.03628,0.03014,7426.03,7434.75,7431.24,3.51,SIN SEÑAL
2026-06-08,GC=F,0.03628,0.03014,4333.24,4359.4,4338.5,20.9,SIN SEÑAL
2026-06-08,SI=F,0.03628,0.03014,68.58,68.47,68.67,-0.2,SIN SEÑAL
2026-06-09,ES=F,0.03628,0.0274,7405.73,7447.0,7410.45,36.55,SIN SEÑAL
2026-06-09,GC=F,0.03628,0.0274,4326.27,4358.0,4331.05,26.95,VENDE FUTURO
2026-06-09,SI=F,0.03628,0.0274,68.35,68.8,68.43,0.37,VENDE FUTURO
